run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124502","all cores","scattered","64",64,5.6118,5.6477,6.0545,0.99692,1.12755,0.16988,0.17599,"tie","tie"
"20260906-124502","all cores","scattered","96",96,7.0390,7.2509,8.0878,0.97138,1.24881,0.35197,0.17269,"tie","tie"
"20260906-124502","all cores","scattered","128",128,7.6297,7.6584,8.1352,1.01184,1.10288,0.11030,0.14073,"tie","tie"
"20260906-124502","all cores","scattered","160",160,11.7633,11.3425,11.0745,1.03398,1.05424,0.29879,0.23945,"tie","tie"
"20260906-124502","all cores","scattered","192",192,12.5000,12.6593,11.3027,0.93150,0.95009,0.20949,0.32562,"tie","tie"
"20260906-124502","all cores","scattered","224",224,14.2873,14.2074,11.4676,1.07458,0.84845,0.26037,0.24977,"tie","tie"
"20260906-124502","all cores","scattered","256",256,14.6860,15.0801,11.8579,0.96941,0.82626,0.32446,0.26417,"tie","tie"
"20260906-124502","all cores","scattered","288",288,24.4293,24.1143,21.9137,1.00678,0.93674,0.12144,0.17691,"tie","tie"
"20260906-124502","all cores","scattered","320",320,26.1643,26.2865,22.4803,0.99989,0.89154,0.15194,0.20588,"tie","tie"
"20260906-124502","all cores","scattered","384",384,29.7410,29.4098,23.1160,1.04964,0.82481,0.21670,0.20009,"tie","tie"
"20260906-124502","all cores","scattered","448",448,31.1457,31.9742,25.6680,0.99111,0.84564,0.11919,0.12967,"tie","libc wins"
"20260906-124502","all cores","scattered","512",512,28.0160,28.3722,29.2458,1.02673,1.06983,0.35153,0.16644,"tie","tie"
"20260906-124502","all cores","scattered","576",576,30.8315,30.2693,30.1470,1.02597,1.01833,0.13370,0.14255,"tie","tie"
"20260906-124502","all cores","scattered","768",768,35.0675,36.5002,34.0747,0.94770,0.98803,0.19078,0.28477,"tie","tie"
"20260906-124502","all cores","scattered","1K",1024,41.7425,41.4012,41.8662,1.01924,1.03614,0.11930,0.17061,"tie","tie"
"20260906-124502","all cores","scattered","1536",1536,55.8425,56.3032,55.3985,0.99047,1.02136,0.19080,0.11849,"tie","tie"
"20260906-124502","all cores","scattered","2K",2048,68.8827,67.6017,67.5552,1.02129,1.03682,0.12266,0.12718,"tie","tie"
"20260906-124502","all cores","scattered","3K",3072,93.3185,91.6137,123.3737,1.02128,1.45838,0.16431,0.30764,"tie","we win"
"20260906-124502","all cores","scattered","4K",4096,143.6965,147.8283,141.2853,0.98710,1.02582,0.25554,0.38445,"tie","tie"
"20260906-124502","all cores","scattered","8K",8192,344.1017,337.7000,337.6317,1.01895,1.02766,0.06547,0.15395,"tie","tie"
"20260906-124502","all cores","scattered","16K",16384,535.2000,528.4233,528.9800,1.01044,1.01080,0.14762,0.13787,"tie","tie"
"20260906-124502","all cores","scattered","64K",65536,1563.8850,1598.3750,1586.1100,1.00507,1.06054,0.15745,0.20446,"tie","tie"
"20260906-124502","all cores","by declared alignment","256 @32",256,1.8238,1.5728,1.6017,1.16474,1.01367,0.07028,0.05749,"C++ wins","tie"
"20260906-124502","all cores","by declared alignment","256 @16",256,1.7499,1.7394,2.5865,1.01035,1.48542,0.06025,0.06574,"tie","we win"
"20260906-124502","all cores","by declared alignment","256 @8",256,1.7918,1.7661,2.5475,1.02103,1.44952,0.04534,0.08056,"tie","we win"
"20260906-124502","all cores","by declared alignment","256 @1",256,1.7464,1.7517,2.5160,0.99657,1.44218,0.03253,0.04266,"tie","we win"
"20260906-124502","all cores","by declared alignment","1024 @32",1024,3.4746,3.4732,3.5380,0.99590,1.01191,0.09859,0.07416,"tie","tie"
"20260906-124502","all cores","by declared alignment","1024 @16",1024,3.6743,3.6995,5.9810,0.99682,1.61065,0.04440,0.10533,"tie","we win"
"20260906-124502","all cores","by declared alignment","1024 @8",1024,3.6158,3.6117,5.8596,0.99882,1.64253,0.04779,0.04546,"tie","we win"
"20260906-124502","all cores","by declared alignment","1024 @1",1024,3.5594,3.5555,5.7199,1.00126,1.61749,0.02430,0.04310,"tie","we win"
