run_id,pass,section,label,bytes,c_ns,cpp_ns,libc_ns,gain,vs_libc,ratio_spread,time_spread,gain_verdict,libc_verdict
"20260906-124407","all cores","by declared alignment","4096 @32",4096,15.6539,15.6884,16.3488,1.00630,1.07258,0.10072,0.09731,"tie","tie"
"20260906-124407","all cores","by declared alignment","4096 @16",4096,15.9266,16.0833,16.3266,1.00641,1.03204,0.15046,0.12124,"tie","tie"
"20260906-124407","all cores","by declared alignment","4096 @8",4096,15.8471,15.7589,16.2636,1.00951,1.04857,0.06588,0.08073,"tie","tie"
"20260906-124407","all cores","by declared alignment","4096 @1",4096,15.6375,15.7589,16.0902,0.98727,1.05058,0.10260,0.09234,"tie","tie"
"20260906-124407","all cores","by address offset","256 +0",256,2.4204,2.3691,2.6009,1.01871,1.10150,0.09513,0.09686,"tie","we win"
"20260906-124407","all cores","by address offset","256 +1",256,2.7667,2.7422,2.5295,1.01013,0.92847,0.04332,0.03998,"tie","libc wins"
"20260906-124407","all cores","by address offset","256 +2",256,2.7704,2.7875,2.5917,0.98716,0.93469,0.06877,0.08206,"tie","tie"
"20260906-124407","all cores","by address offset","256 +4",256,2.7771,2.7748,2.5497,0.99988,0.94724,0.09177,0.07851,"tie","tie"
"20260906-124407","all cores","by address offset","256 +8",256,2.6480,2.6639,2.5796,0.99610,0.99127,0.07432,0.08243,"tie","tie"
"20260906-124407","all cores","by address offset","256 +15",256,2.5979,2.6101,2.6072,0.99790,1.01606,0.05118,0.05199,"tie","tie"
"20260906-124407","all cores","by address offset","256 +16",256,2.3644,2.2543,1.5783,1.05390,0.70413,0.07580,0.04875,"tie","libc wins"
"20260906-124407","all cores","by address offset","256 +31",256,2.5940,2.5605,2.5301,1.01887,0.99877,0.05421,0.07570,"tie","tie"
"20260906-124407","all cores","by address offset","4096 +0",4096,15.1927,15.3578,15.9538,0.99724,1.04993,0.06962,0.08084,"tie","tie"
"20260906-124407","all cores","by address offset","4096 +1",4096,15.6270,15.5431,15.9158,0.99804,1.04635,0.07770,0.05706,"tie","tie"
"20260906-124407","all cores","by address offset","4096 +2",4096,15.5416,15.4857,16.1345,1.00495,1.05220,0.08081,0.06241,"tie","tie"
"20260906-124407","all cores","by address offset","4096 +4",4096,15.7711,15.7048,16.0701,1.00235,1.03911,0.08227,0.08554,"tie","tie"
"20260906-124407","all cores","by address offset","4096 +8",4096,15.5949,15.8584,16.2424,0.99144,1.03309,0.06651,0.07640,"tie","tie"
"20260906-124407","all cores","by address offset","4096 +15",4096,15.5499,15.4610,15.7375,1.00967,1.02700,0.07478,0.08258,"tie","tie"
"20260906-124407","all cores","by address offset","4096 +16",4096,15.4511,15.5970,15.9867,0.98712,1.05211,0.07953,0.07711,"tie","tie"
"20260906-124407","all cores","by address offset","4096 +31",4096,16.0809,15.7830,15.9727,1.00964,1.04489,0.09230,0.07385,"tie","tie"
